"N_bikes" "temperature" "feels_like" "humidity" "wind_speed" "holiday" "weekend" "season"
"1" 17199 11.125 9.75 76.5833333333333 28.1875 0 0 3
"2" 21171 3.97916666666667 0.1875 77.0833333333333 17.4791666666667 0 0 3
"3" 27365 11.0416666666667 9.64583333333333 64.3125 18.3958333333333 0 1 0
"4" 12864 8.8695652173913 7.02173913043478 77.695652173913 12.2608695652174 0 1 0
"5" 30053 11.6666666666667 11.3333333333333 74.7083333333333 11.1666666666667 0 0 2
"6" 26507 13.6458333333333 13.6458333333333 73.625 21.875 0 0 2
"7" 23535 7.1875 6.02083333333333 88.3958333333333 7.45833333333333 0 0 3
"8" 23800 1.5625 0.354166666666667 77.4166666666667 5.41666666666667 0 0 3
"9" 24503 15.1666666666667 15.1666666666667 87.4375 14.3333333333333 0 0 2
"10" 27191 9.58333333333333 8.4375 72.4166666666667 11.1875 0 0 0
"11" 29112 16.6041666666667 16.6041666666667 71.1458333333333 19.2708333333333 0 1 1
"12" 33820 14.5625 14.5625 53.4166666666667 23.2291666666667 0 0 0
"13" 36581 19.5416666666667 19.2083333333333 57.3541666666667 17 0 1 1
"14" 25811 14.5 14.5 78.7708333333333 18.625 0 0 2
"15" 37923 17.0416666666667 16.8958333333333 58.5416666666667 8.125 0 0 1
"16" 14970 8.14583333333333 7.20833333333333 90.7291666666667 6.52083333333333 0 1 3
"17" 16336 8.125 5.35416666666667 69.8125 27.25 0 1 2
"18" 37697 23.1875 22.9791666666667 56.125 10.1666666666667 0 0 1
"19" 22423 11.2708333333333 10.3541666666667 79.4375 18.0416666666667 1 0 3
"20" 26885 7.58333333333333 6.39583333333333 59.0833333333333 8.64583333333333 0 1 0
"21" 27941 10.0833333333333 8.54166666666667 77.2708333333333 22.1041666666667 0 0 2
"22" 38993 19.7291666666667 19.7291666666667 69.4375 11.0416666666667 0 1 1
"23" 36807 14.7708333333333 14.7708333333333 77.7291666666667 20.5625 0 0 2
"24" 30831 14.3541666666667 14.3125 77.3333333333333 11.2708333333333 0 1 0
"25" 29502 13.75 13.75 60.875 13.6041666666667 1 0 0
"26" 25672 6.20833333333333 4.64583333333333 67.0833333333333 7.9375 0 0 0
"27" 38940 18.625 18.4375 57.2083333333333 16.0833333333333 0 0 1
"28" 33109 18.1041666666667 18.1041666666667 70.1041666666667 7.33333333333333 0 0 2
"29" 33116 15.8125 15.8125 71.6458333333333 14.0833333333333 0 0 2
"30" 31141 15.4166666666667 15.4166666666667 73.6666666666667 11.3541666666667 0 1 2
"31" 6421 7 4.4375 88.4375 14.125 0 1 3
"32" 29817 13.6458333333333 13.5833333333333 72.5833333333333 11.6458333333333 0 1 2
"33" 22805 8.97916666666667 7.89583333333333 85.6666666666667 8.4375 0 0 3
"34" 16876 12.7291666666667 12.5208333333333 77.75 10.7916666666667 0 1 2
"35" 32587 13.6041666666667 13.5416666666667 63.8541666666667 13.5416666666667 0 0 1
"36" 35693 20.75 20.75 68.6666666666667 20.3125 0 0 1
"37" 28304 8.79166666666667 7.79166666666667 63.1458333333333 10.6666666666667 0 0 0
"38" 24367 10.7291666666667 9.45833333333333 62.125 14.8333333333333 0 1 0
"39" 15265 19.4166666666667 19.4166666666667 75.4166666666667 21.9166666666667 0 1 2
"40" 12428 2.16666666666667 0.0208333333333333 97.2291666666667 7.39583333333333 0 0 3
"41" 27060 6.41666666666667 4.41666666666667 70.7916666666667 12.1666666666667 0 0 0
"42" 27419 8.75 7.60416666666667 73.7291666666667 11.2291666666667 0 0 0
"43" 38528 15.7291666666667 15.7291666666667 59.4375 10.375 0 0 2
"44" 42021 19.75 19.7291666666667 61.2083333333333 14.1458333333333 0 0 1
"45" 43848 19.25 19.0625 53.9375 9.16666666666667 0 1 1
"46" 14409 9.91666666666667 8.875 84.6666666666667 21.2916666666667 0 0 3
"47" 24514 9 5.33333333333333 61.1875 30.0625 0 0 3
"48" 31614 11.0833333333333 10.375 73.7916666666667 11.3125 0 0 0
"49" 29829 15.0625 15.0625 78.3958333333333 9.5 0 0 2
"50" 17699 6.97916666666667 4.02083333333333 84.5416666666667 17.8125 0 0 3
"51" 12291 8.4375 6.9375 91.3541666666667 10.25 0 1 3
"52" 15601 9.75 7.79166666666667 79.3125 20.4791666666667 0 0 3
"53" 30579 10.4791666666667 9.8125 75.0416666666667 13.5 0 0 2
"54" 30628 15.1666666666667 15.1666666666667 67.4791666666667 9.41666666666667 0 1 0
"55" 26871 12.75 12.75 89.25 17.5833333333333 0 0 1
"56" 15641 9.1875 6.41666666666667 66.6875 29.5833333333333 0 1 0
"57" 25064 5.85416666666667 3.47916666666667 68.7083333333333 12.1875 0 0 3
"58" 27462 10.0833333333333 7.875 70.5833333333333 22.5833333333333 0 0 2
"59" 36699 13.75 13.3541666666667 56.4791666666667 11.6666666666667 0 0 0
"60" 41885 20.5 20.5 58.7291666666667 14.3541666666667 0 1 1
"61" 25431 16.2291666666667 16.2291666666667 84.8125 18.125 0 0 2
"62" 41703 17.8125 17.8125 62.4375 23.8333333333333 0 0 1
"63" 37311 16.4791666666667 16.4791666666667 68.1458333333333 15.9166666666667 0 0 1
"64" 19329 8.97916666666667 6.77083333333333 75.9166666666667 17.1666666666667 0 0 0
"65" 35172 18.75 18.75 69.5833333333333 12.2083333333333 0 0 1
"66" 63468 19.4375 19.4375 67.7083333333333 14.8958333333333 0 0 1
"67" 27137 8.52083333333333 7.89583333333333 66.5 11.1666666666667 0 0 0
"68" 34196 18.4791666666667 18.4791666666667 73.2916666666667 7.375 0 0 1
"69" 23535 11.144927536087 11.1014492752174 94.1739130434783 5.09420289856522 0 1 2
"70" 32636 13.1875 13.1666666666667 68.9375 8.5 0 1 2
"71" 30046 10.2916666666667 8.97916666666667 56.75 14.25 0 1 0
"72" 33753 15.3125 15.3125 66.5833333333333 16.7916666666667 0 0 2
"73" 28131 10 8.95833333333333 56.2083333333333 13.5833333333333 0 0 0
"74" 25734 13.3125 13.3125 81.5416666666667 14.4791666666667 0 0 3
"75" 9797 6.5 3.72916666666667 82.5 16.7291666666667 1 0 3
"76" 18653 13.75 13.75 89.6666666666667 13.4166666666667 0 0 2
"77" 20613 7.85416666666667 5.33333333333333 78.8958333333333 16 0 0 3
"78" 19142 8.02083333333333 5.22916666666667 86.8333333333333 17 0 0 0
"79" 9869 4.25 0.666666666666667 85.5625 18.4375 0 1 3
"80" 15446 7.54166666666667 5.79166666666667 77.75 10.7291666666667 0 1 2
"81" 38283 22.2291666666667 22.2291666666667 66.1666666666667 17.4375 0 1 1
"82" 22602 10.85 9.7 55.15 41.9 0 0 0
"83" 28474 13.875 13.875 73.9791666666667 27.0416666666667 0 0 2
"84" 32038 8 6.60416666666667 70.2916666666667 9.97916666666667 0 0 2
"85" 33435 15.6875 15.3958333333333 65.7083333333333 13.6666666666667 0 0 0
"86" 25252 10.6666666666667 8.83333333333333 66 27.9375 0 0 2
"87" 21789 3.66666666666667 0.0625 75.4583333333333 16.3125 0 0 3
"88" 34387 15.0416666666667 15.0416666666667 49.9375 23.2083333333333 0 0 0
"89" 37769 22.9791666666667 23 67.25 17.8541666666667 0 1 1
"90" 33968 20.125 20.125 67.75 19.75 0 1 1
"91" 35966 16.3541666666667 16.3541666666667 58.5416666666667 16.0208333333333 0 0 1
